"fitted_model","stacking","pseudo_BMA","n_years_val.x","BMA","n_years_val.y","sim","gen_model","n_years"
"m6",0.01,0,10,1,0,12,"mix_cbd_rh",20
"m6",0.705,0.948,1,1,0,12,"mix_cbd_rh",20
"rh",0,0.003,1,1.76479450103571e-135,0,12,"mix_cbd_rh",20
"rh",0.008,0,5,1.76479450103571e-135,0,12,"mix_cbd_rh",20
"rh",0,0,10,1.76479450103571e-135,0,12,"mix_cbd_rh",20
"apc",0.986,1,10,3.28286524625295e-99,0,13,"mix_cbd_rh",20
"apc",0.482,0.466,1,3.28286524625295e-99,0,13,"mix_cbd_rh",20
"apc",0.532,1,5,3.28286524625295e-99,0,13,"mix_cbd_rh",20
"cbd",0,0,10,1.47162245347758e-36,0,13,"mix_cbd_rh",20
"cbd",0.204,0,5,1.47162245347758e-36,0,13,"mix_cbd_rh",20
"cbd",0,0,1,1.47162245347758e-36,0,13,"mix_cbd_rh",20
"lc",0,0,1,7.62056984340393e-137,0,13,"mix_cbd_rh",20
"lc",0.087,0,5,7.62056984340393e-137,0,13,"mix_cbd_rh",20
"lc",0,0,10,7.62056984340393e-137,0,13,"mix_cbd_rh",20
"m6",0,0,5,1,0,13,"mix_cbd_rh",20
"m6",0.014,0,10,1,0,13,"mix_cbd_rh",20
"m6",0.518,0.523,1,1,0,13,"mix_cbd_rh",20
"rh",0,0.011,1,1.65966144787549e-130,0,13,"mix_cbd_rh",20
"rh",0.177,0,5,1.65966144787549e-130,0,13,"mix_cbd_rh",20
"rh",0,0,10,1.65966144787549e-130,0,13,"mix_cbd_rh",20
"apc",1,1,10,1.44593942516767e-103,0,14,"mix_cbd_rh",20
"apc",0.349,0.056,1,1.44593942516767e-103,0,14,"mix_cbd_rh",20
"apc",0.854,1,5,1.44593942516767e-103,0,14,"mix_cbd_rh",20
"cbd",0,0,10,1.178129881949e-50,0,14,"mix_cbd_rh",20
"cbd",0,0,5,1.178129881949e-50,0,14,"mix_cbd_rh",20
"cbd",0,0,1,1.178129881949e-50,0,14,"mix_cbd_rh",20
"lc",0.65,0.779,1,6.32757539243298e-138,0,14,"mix_cbd_rh",20
"lc",0.146,0,5,6.32757539243298e-138,0,14,"mix_cbd_rh",20
"lc",0,0,10,6.32757539243298e-138,0,14,"mix_cbd_rh",20
"m6",0,0,5,1,0,14,"mix_cbd_rh",20
"m6",0,0,10,1,0,14,"mix_cbd_rh",20
"m6",0.001,0.127,1,1,0,14,"mix_cbd_rh",20
"rh",0,0.037,1,5.97811442917462e-136,0,14,"mix_cbd_rh",20
"rh",0,0,5,5.97811442917462e-136,0,14,"mix_cbd_rh",20
"rh",0,0,10,5.97811442917462e-136,0,14,"mix_cbd_rh",20
"apc",0.573,1,10,0.992612329340487,0,15,"mix_cbd_rh",20
"apc",0,0.076,1,0.992612329340487,0,15,"mix_cbd_rh",20
"apc",0.821,1,5,0.992612329340487,0,15,"mix_cbd_rh",20
"cbd",0,0,10,7.76251809665381e-54,0,15,"mix_cbd_rh",20
"cbd",0,0,5,7.76251809665381e-54,0,15,"mix_cbd_rh",20
"cbd",0.164,0,1,7.76251809665381e-54,0,15,"mix_cbd_rh",20
"lc",0.449,0.371,1,1.69663764169184e-08,0,15,"mix_cbd_rh",20
"lc",0,0,5,1.69663764169184e-08,0,15,"mix_cbd_rh",20
"lc",0,0,10,1.69663764169184e-08,0,15,"mix_cbd_rh",20
"m6",0,0,5,0.00298557926783726,0,15,"mix_cbd_rh",20
"m6",0.296,0,10,0.00298557926783726,0,15,"mix_cbd_rh",20
"m6",0.387,0.499,1,0.00298557926783726,0,15,"mix_cbd_rh",20
"rh",0,0.053,1,0.00440207442529961,0,15,"mix_cbd_rh",20
"rh",0.179,0,5,0.00440207442529961,0,15,"mix_cbd_rh",20
"rh",0.131,0,10,0.00440207442529961,0,15,"mix_cbd_rh",20
"apc",1,1,10,7.87125901867002e-91,0,16,"mix_cbd_rh",20
"apc",0.821,0.927,1,7.87125901867002e-91,0,16,"mix_cbd_rh",20
"apc",1,1,5,7.87125901867002e-91,0,16,"mix_cbd_rh",20
"cbd",0,0,10,4.99499505721201e-43,0,16,"mix_cbd_rh",20
"cbd",0,0,5,4.99499505721201e-43,0,16,"mix_cbd_rh",20
"cbd",0.115,0,1,4.99499505721201e-43,0,16,"mix_cbd_rh",20
"lc",0.064,0.008,1,3.25377937020908e-126,0,16,"mix_cbd_rh",20
"lc",0,0,5,3.25377937020908e-126,0,16,"mix_cbd_rh",20
"lc",0,0,10,3.25377937020908e-126,0,16,"mix_cbd_rh",20
"m6",0,0,5,1,0,16,"mix_cbd_rh",20
