c,g_t_x
1949,0.1760195629878334
1950,0.17714762059163375
1951,0.20839710048078616
1952,0.21770695374565172
1953,0.21394849178801942
1954,0.2418195539901571
1955,0.2131862363714638
1956,0.2534547301634179
1957,0.2413512015986232
1958,0.21129531147145542
1959,0.21895851579897346
1960,0.2058902523552382
1961,0.16803334077030588
1962,0.13824070420426765
1963,0.1405161570261632
1964,0.12409050307867879
1965,0.11026996537087586
1966,0.10519044713814071
1967,0.10486093347450873
1968,0.10769425720662244
1969,0
1870,0
1871,0.026992092042129597
1872,0.022345565520985208
1873,0.0018538948586815556
1874,0.053972937019974805
1875,0.05855275937568325
1876,0.05829360369248338
1877,0.0756283508099545
1878,0.039777682599617996
1879,0.06115648184926018
1880,0.08659970931488578
1881,0.04767088219880356
1882,0.06550051983929575
1883,0.0600772555256912
1884,0.0807430922840213
1885,0.07301925195694024
1886,0.09469395055981703
1887,0.1177515861458925
1888,0.0997521765802069
1889,0.11061435739584996
1890,0.1253314276710205
1891,0.14232362317105324
1892,0.1418596671778609
1893,0.15156553754640506
1894,0.17697736022507712
1895,0.1869097016051328
1896,0.21797239897707085
1897,0.21099365308834678
1898,0.2218802909065235
1899,0.2559932922258686
1900,0.2538723344738569
1901,0.26417191648149724
1902,0.27744078588800997
1903,0.2811983244313324
1904,0.30356002148084715
1905,0.2861345651163803
1906,0.3096806453479391
1907,0.2951998401676424
1908,0.32626053322844994
1909,0.3172696884603883
1910,0.3119063968092093
1911,0.31659479049015904
1912,0.3024659549928003
1913,0.30972803111624214
1914,0.3075567280488969
1915,0.2933838125727
1916,0.24991336257991645
1917,0.36430005907925794
1918,0.3078491189659484
1919,0.2667775954754344
1920,0.3040523870579838
1921,0.28996490304503364
1922,0.29330780399413886
1923,0.25544616130320436
1924,0.2710038762206975
1925,0.2806152315414927
1926,0.26783535627624877
1927,0.2763006119427219
1928,0.277130387045903
1929,0.2577227329384836
1930,0.24552815056984204
1931,0.21764352858515204
1932,0.21114701087614196
1933,0.19585197881802843
1934,0.16617849839556828
1935,0.1481326692928408
1936,0.1527939452027778
1937,0.14276184348224386
1938,0.10832985943310537
1939,0.111692907226681
1940,0.10437623618611487
1941,0.14543306843955173
1942,0.15697989233968554
1943,0.1341186617130216
1944,0.1679704226090177
1945,0.18487350639947855
1946,0.18265063528806816
1947,0.175214234791079
1948,0.18903986180208604
1949,0.20805299661974375
1950,0.16356027022875558
1951,0.20343770614883844
1952,0.23206674982356812
1953,0.2373529815126334
1954,0.2450953229224076
1955,0.22486419544254038
1956,0.2526242149744869
1957,0.23253541521322532
1958,0.22821521773589987
1959,0.2333099616605512
1960,0.20274544199330582
1961,0.18276307402033692
1962,0.12103705996610259
1963,0.13705504726659107
1964,0.10770700725642579
1965,0.09148809878580351
1966,0.09223867642876622
1967,0.08977097035962857
1968,0.09946510100783017
1969,0
1870,0
1871,-7.834881245664452e-4
1872,3.852891967621023e-4
1873,0.021556680940404194
1874,0.016104433034546606
1875,0.028876969136262434
1876,0.07926785363280861
1877,0.06400778597489938
1878,0.0919900707409126
1879,0.07372618003163033
1880,0.0807079978008088
1881,0.06704502132183739
1882,0.07180938333902498
1883,0.079640670803739
1884,0.08478853819489958
1885,0.08641647262829386
1886,0.09879042834384116
1887,0.1335398401892787
1888,0.10818836590744571
1889,0.12609955670939593
1890,0.13204284799265834
1891,0.14735191147548962
1892,0.14807314167437802
1893,0.1572792046715043
1894,0.18049170802007913
1895,0.18739179574099882
1896,0.21906652903805796
1897,0.21436974756650873
1898,0.21727305303019812
1899,0.24864617799560845
1900,0.25454626326777036
1901,0.2547475501486054
1902,0.27830828868358964
1903,0.2928384304387102
1904,0.29217773406553726
1905,0.29215164241620095
1906,0.3089704380511797
1907,0.3119688299356229
1908,0.30741911682990725
1909,0.31895636913199593
1910,0.31413958651359236
1911,0.29475565970907625
1912,0.2933011157243913
1913,0.28621795292964664
1914,0.3087521349623709
1915,0.295322015405015
1916,0.25488537532632294
1917,0.36411909368218165
1918,0.30289118889748284
1919,0.26541353192472983
1920,0.2994046828925298
1921,0.29235188772725124
1922,0.2790602033397652
1923,0.26471084218199165
1924,0.28191671145302877
1925,0.2812242691486522
1926,0.25633783790669185
1927,0.2618103482650007
1928,0.26252971323239715
1929,0.25224637145138906
1930,0.2329019666269788
1931,0.21738945522479308
1932,0.19980576335734512
1933,0.18563708193554848
1934,0.16782818087092646
1935,0.14505859580416816
1936,0.12983773908420385
1937,0.11853554486312802
1938,0.09990613356274486
1939,0.11702557082835281
1940,0.11238763759044831
1941,0.11482775618676586
1942,0.13325368438982385
1943,0.1527011551980612
1944,0.15743489680061437
1945,0.14580673666575564
1946,0.16717607437448234
1947,0.15722332450132073
1948,0.1722033232643397
1949,0.1786310783989472
1950,0.18903946431142943
1951,0.2170675282837582
1952,0.20602313516708487
1953,0.20149615851129693
1954,0.2284755560877611
1955,0.21574745122833067
1956,0.22746393826176936
1957,0.22553358757505818
1958,0.20248269244724093
1959,0.20392332832066856
1960,0.18850728934400426
1961,0.14717020807167758
1962,0.12327927567294385
1963,0.10456849733722173
1964,0.08266856093111999
1965,0.10798795855171421
1966,0.0687436919700682
1967,0.0797565918517496
1968,0.09023537097101471
1969,0
1870,0
1871,0.0018074963923136581
1872,-0.0030267537235014485
1873,0.0058226691398087765
1874,0.04354118448726177
1875,0.05875659599574139
1876,0.07524130300975752
1877,0.09470962112479565
1878,0.05045688989204283
1879,0.07884377021801503
1880,0.08215766018118612
1881,0.07089593616675517
1882,0.06997914547915192
1883,0.06972381935807599
1884,0.08854256402356238
1885,0.09885524529794994
1886,0.11306378419767481
1887,0.11503607250370738
1888,0.11061058338119283
1889,0.12303108962280972
1890,0.12742829044852733
1891,0.13257235739785736
1892,0.1708156339711085
1893,0.15692413942451408
1894,0.1777947977241612
1895,0.19476497314813565
1896,0.20014261843726402
1897,0.19977231870962633
1898,0.24392048939648725
1899,0.25300115227181214
1900,0.2571176475985152
1901,0.2696238793668369
1902,0.28821537804252345
1903,0.29365541141823576
1904,0.3070443355778413
1905,0.2866580777591759
1906,0.3030087774753715
1907,0.29962360079959965
1908,0.31414142654016436
1909,0.31349363817120074
1910,0.31786287051504597
1911,0.3125743729314593
1912,0.2912023889181582
1913,0.3028712337275147
1914,0.3007039344859022
1915,0.28172077794121964
1916,0.25356994481927814
1917,0.35878510971825156
1918,0.3051485089490482
1919,0.26229428041871206
1920,0.3033319865901191
1921,0.28923834039983504
1922,0.28546906499080926
1923,0.25933767063742774
1924,0.2618657323720217
1925,0.27723962065595376
1926,0.25055476332015614
1927,0.2499279429490529
1928,0.2631208081936111
1929,0.258229333945912
1930,0.23583921579919495
1931,0.2150692583769467
1932,0.19501523902433293
1933,0.1877696068703219
