"fitted_model","stacking","pseudo_BMA","n_years_val.x","BMA","n_years_val.y","sim","gen_model","n_years"
"apc",0,0.343,1,0.900241909064479,0,12,"apc",20
"apc",0.705,1,5,0.900241909064479,0,12,"apc",20
"cbd",0,0,10,3.34691669536706e-127,0,12,"apc",20
"cbd",0.199,0,5,3.34691669536706e-127,0,12,"apc",20
"cbd",0,0,1,3.34691669536706e-127,0,12,"apc",20
"lc",0.128,0.006,1,6.11014969631182e-61,0,12,"apc",20
"lc",0.005,0,5,6.11014969631182e-61,0,12,"apc",20
"lc",0,0,10,6.11014969631182e-61,0,12,"apc",20
"m6",0,0,5,0.00198809263820227,0,12,"apc",20
"m6",0,0,10,0.00198809263820227,0,12,"apc",20
"m6",0.805,0.581,1,0.00198809263820227,0,12,"apc",20
"rh",0.066,0.069,1,0.0977699982973187,0,12,"apc",20
"rh",0.091,0,5,0.0977699982973187,0,12,"apc",20
"rh",0,0,10,0.0977699982973187,0,12,"apc",20
"apc",0.732,1,10,1.36107475980321e-92,0,13,"apc",20
"apc",1,0.97,1,1.36107475980321e-92,0,13,"apc",20
"apc",0.948,1,5,1.36107475980321e-92,0,13,"apc",20
"cbd",0,0,10,1.49431406614752e-72,0,13,"apc",20
"cbd",0.039,0,5,1.49431406614752e-72,0,13,"apc",20
"cbd",0,0,1,1.49431406614752e-72,0,13,"apc",20
"lc",0,0,1,1.75259510283791e-142,0,13,"apc",20
"lc",0.007,0,5,1.75259510283791e-142,0,13,"apc",20
"lc",0,0,10,1.75259510283791e-142,0,13,"apc",20
"m6",0,0,5,1,0,13,"apc",20
"m6",0.268,0,10,1,0,13,"apc",20
"m6",0,0.028,1,1,0,13,"apc",20
"rh",0,0.002,1,7.24970719314204e-120,0,13,"apc",20
"rh",0.007,0,5,7.24970719314204e-120,0,13,"apc",20
"rh",0,0,10,7.24970719314204e-120,0,13,"apc",20
"apc",1,1,10,3.64418021279361e-95,0,14,"apc",20
"apc",0,0.002,1,3.64418021279361e-95,0,14,"apc",20
