x,a_x
68,-3.3608483224309893
69,-3.261847292865141
70,-3.161816446915108
71,-3.0748533687698867
72,-2.9846297149069785
73,-2.894996736193324
74,-2.7950675280581723
75,-2.698993131920546
76,-2.6083778322192552
77,-2.5100741337298724
78,-2.4119837832151063
79,-2.3150865178749056
80,-2.2085702875661117
81,-2.112321911238633
82,-2.0178463243374987
83,-1.9175607103485302
84,-1.8104357895210483
85,-1.7176060215241282
86,-1.614691330981715
87,-1.5153649826547984
88,-1.4353647776369587
89,-1.3237178506062535
90,-1.2321308439240097
50,-5.0509688567520055
51,-4.931375474458799
52,-4.846296500713005
53,-4.747546608583301
54,-4.669474177230325
55,-4.558646346823752
56,-4.469638090662191
57,-4.3625386513382525
58,-4.2668812075520774
59,-4.176289614933691
60,-4.070162241783499
61,-3.9847852211004238
62,-3.8865220755090104
63,-3.812719024806767
64,-3.711256227956028
65,-3.612815872042086
66,-3.514841353830988
67,-3.4419731306172174
68,-3.351092828757082
69,-3.2527159572832933
70,-3.1516875402844224
71,-3.064979356641462
72,-2.9734860361923268
73,-2.883997594020869
74,-2.78417440486968
75,-2.686745553343086
76,-2.594952357751751
77,-2.497130600531904
78,-2.4016059228795106
79,-2.300361077025555
80,-2.1985335686390144
81,-2.099757782421085
82,-2.005711725289154
83,-1.9066971820850214
84,-1.7998252206176946
85,-1.707033787211176
86,-1.6037623044626448
87,-1.509780271808784
88,-1.4198236068982746
89,-1.3259612944607662
90,-1.210948337630671
50,-5.043820439021633
51,-4.939976414027329
52,-4.8436852051220765
53,-4.758652179212697
54,-4.664882972160148
55,-4.563321309459905
56,-4.4569956421409644
57,-4.37056647186524
58,-4.273902958317091
59,-4.179334859750035
60,-4.077433126778734
61,-3.986012821274485
62,-3.8914920624239544
63,-3.822957808255621
64,-3.7160977074712775
65,-3.618453189169839
66,-3.5177929977683644
67,-3.444104175255033
68,-3.353464450287772
69,-3.2571582223323805
70,-3.156821648892997
71,-3.070696105157971
72,-2.9780926545905797
73,-2.8865540994158634
74,-2.7919705460910227
75,-2.6900036195355703
76,-2.5957254375723378
77,-2.496268187959302
78,-2.407891302630219
79,-2.3056334820768503
80,-2.199441045248408
81,-2.10309447156858
82,-2.0157362443499416
83,-1.9080915150581292
84,-1.806609060843437
85,-1.7091262102596863
86,-1.608274991285613
87,-1.5071355990620028
88,-1.4334841875707294
89,-1.332495664890194
90,-1.223434435005085
50,-5.04493643553242
51,-4.9460528567896125
52,-4.863394604196922
53,-4.745578162104488
54,-4.668137115410813
55,-4.557697256056099
56,-4.478118179119378
57,-4.358138239864498
58,-4.276826214761249
59,-4.173211873874282
60,-4.0798519969735745
61,-3.997341709895212
62,-3.8935065179192527
63,-3.8097880543829765
64,-3.7175828936665947
65,-3.6206642390440016
66,-3.5234295197930194
67,-3.4544571317052304
68,-3.353809763284358
69,-3.2461624125164246
70,-3.156347895647493
71,-3.0704086819758927
72,-2.97024107475505
73,-2.8893575876780555
74,-2.8000746999269555
75,-2.6978193435845066
76,-2.5992610133153793
77,-2.5016759330192704
78,-2.403485912338341
79,-2.2979049671986442
80,-2.1953899406788855
81,-2.1113905023748307
82,-2.011387803737476
83,-1.9178891398295144
84,-1.8102739786341835
85,-1.7037645975455626
86,-1.6077537776065052
87,-1.5097667196273195
88,-1.412946402023609
89,-1.3127133856996156
90,-1.2169277977355037
50,-5.0440395718652535
51,-4.941214074913477
52,-4.851305924955307
53,-4.753693817133996
54,-4.6737668293315595
55,-4.568512248860488
56,-4.462923911987938
57,-4.364360391289804
58,-4.279824699996536
59,-4.175431286203719
60,-4.082228038753783
61,-3.994333906177966
62,-3.889159639671722
63,-3.814685617893439
64,-3.7172225083922514
65,-3.618832018800703
66,-3.5263284913965154
67,-3.4597885741905414
68,-3.3516688865555957
69,-3.248736650600187
70,-3.160636217318558
71,-3.0734450575184686
72,-2.9697987739395355
73,-2.8924829685381854
74,-2.797874554360327
75,-2.6992189280074665
76,-2.600160762640855
77,-2.4996662147307824
78,-2.4073752508607087
79,-2.3076492333322616
80,-2.196389294710035
81,-2.11497868692694
82,-2.0063737747070562
83,-1.9163989066063387
84,-1.8092818271814566
85,-1.7120343271919747
86,-1.6215099427931687
87,-1.509562554954229
88,-1.4231642800785742
89,-1.3383591815851297
90,-1.2250296198401882
50,-5.042258704554356
51,-4.943416001279561
52,-4.850386854479925
53,-4.749160906967421
54,-4.67017071531519
55,-4.569716756747105
56,-4.468773381053467
57,-4.367389411070917
58,-4.267517729721597
59,-4.17277212138083
60,-4.075900414253049
61,-3.9950691565277445
62,-3.8875468586582693
63,-3.8037856511161623
64,-3.7224012917567206
