t,k_t
1971,-0.022571939063416643
1972,-0.011459803136604304
1973,-0.03267767241307979
1974,-0.047092198474857856
1975,-0.07552014540649979
1976,-0.05924386357631009
1977,-0.07916485555247459
1978,-0.13037475670696191
1979,-0.13017385167972048
1980,-0.15886944379459764
1981,-0.1609187470884901
1982,-0.1977273184559268
1983,-0.2064785098593114
1984,-0.20742830245939387
1985,-0.23410421973536785
1986,-0.24119784454489301
1987,-0.269973394379505
1988,-0.31946005205281036
1989,-0.3361191521111928
1990,-0.34411688750056635
1991,-0.3792817558782587
1992,-0.4005696107209733
1993,-0.4051181074797096
1994,-0.4056001263796509
1995,-0.436493283697498
1996,-0.4375661450630409
1997,-0.4621712552714271
1998,-0.4781324447637776
1999,-0.4842284595597719
2000,-0.48581396071349897
2001,-0.4981725033393047
2002,-0.5287694741711417
2003,-0.5235817286624495
2004,-0.5492267215289294
2005,-0.5996208231359001
2006,-0.6165763741940687
2007,-0.6601077237159594
2008,-0.6782557505786849
2009,-0.6696451073516242
2010,-0.6801360406854816
2011,-0.7086719365457034
2012,-0.746703120564808
2013,-0.7245538772832573
2014,-0.7290317231288497
2015,-0.7847591757861073
2016,-0.7877743887449437
2017,-0.8103257798825386
2018,-0.8203610834210812
2019,-0.8528770338224391
1960,0
1961,0.08109546848208504
1962,-0.004096039116505098
1963,0.024403108115093823
1964,0.06263488440520136
1965,-0.014417968675546592
1966,0.018965606401818973
1967,0.008303977208167435
1968,-2.1220792490239985e-4
1969,0.050674697715667384
1970,0.034867006244464344
1971,-0.011463617296023973
1972,-0.011492612930312802
1973,-0.031814592889864574
1974,-0.04164153427558443
1975,-0.07889375927613604
1976,-0.06023933435451328
1977,-0.07699397128593352
1978,-0.1313536357795447
1979,-0.12847375681909318
1980,-0.17246482430795612
1981,-0.15554495664599388
1982,-0.19195930379645548
1983,-0.2136308736524006
1984,-0.212325459185943
1985,-0.2476261525042036
1986,-0.24662398237327388
1987,-0.26768026530608385
1988,-0.32011869639679613
1989,-0.34846844254287146
1990,-0.34075854475396106
1991,-0.3842997827931642
1992,-0.39496252551397887
1993,-0.39643168320369826
1994,-0.3977863584314072
1995,-0.42887095422698096
1996,-0.42252199428658704
1997,-0.4476754914121192
1998,-0.4619990453275883
1999,-0.46252862031449016
2000,-0.4854874129411303
2001,-0.5096294631271528
2002,-0.5434348442296155
2003,-0.5437341551052401
2004,-0.550474148785483
2005,-0.5974552197188359
2006,-0.6087274027133135
2007,-0.6384897770608099
2008,-0.6604613358500396
2009,-0.6553865207740345
2010,-0.6911517686305586
2011,-0.7020390528663252
2012,-0.7301336837170168
2013,-0.716470503843797
2014,-0.7410398228889776
2015,-0.8016105676975808
2016,-0.7787755925574644
2017,-0.8084210551631549
2018,-0.8312012355229828
2019,-0.8227391329407027
1960,0
1961,0.08076255708761905
1962,0.006882627573422806
1963,0.054125364670411284
1964,0.06841881593941732
1965,-0.00325076514288767
1966,0.03159239028320196
1967,0.0026602681855932677
1968,0.008848347630634051
1969,0.036327373242984344
1970,0.016957165609795297
1971,-0.004246071579275203
1972,-0.014547873795867212
1973,-0.03836925683293764
1974,-0.04574346773710128
1975,-0.07379281892473837
1976,-0.05752794266221187
1977,-0.06787430674634279
1978,-0.12532199371903888
1979,-0.12606310542419225
1980,-0.15664938995417357
1981,-0.1758755910136586
1982,-0.17982407908789555
1983,-0.21075304839904155
1984,-0.20589954627335477
1985,-0.24893661783774026
1986,-0.23674435697216073
1987,-0.2680916655876179
1988,-0.33018189666445547
1989,-0.354548575516439
1990,-0.34966879009969554
1991,-0.38782381834048446
1992,-0.38838844334393313
1993,-0.401174105019782
1994,-0.40610761213297475
1995,-0.4292405810428368
1996,-0.42078637711426276
1997,-0.4528807165688141
1998,-0.46882398083426857
1999,-0.46707928923778796
2000,-0.48951299290355305
2001,-0.5124237348060572
2002,-0.5466909055071083
2003,-0.5472768688051893
2004,-0.5521323855754888
2005,-0.6083941565339949
2006,-0.6045333930961097
2007,-0.6548829061117717
2008,-0.6629144293282808
2009,-0.65907281670271
2010,-0.6811157053560879
2011,-0.7058525439458686
2012,-0.7372062278094076
2013,-0.7190756265678128
2014,-0.7314179766151025
2015,-0.7846444660778417
2016,-0.7900637451408543
2017,-0.8193564872800291
2018,-0.8224743486372617
2019,-0.8460383201779392
1960,0
1961,0.08284394305071148
1962,0.012740340460010066
1963,0.028347000658732732
1964,0.060104890405079145
1965,-0.009605338165611137
1966,0.012362800194691062
1967,0.010748135147930774
1968,-0.002851009228032831
1969,0.05415425815386828
1970,0.039426245824977876
1971,-0.007758523404294561
1972,-0.007444372378246732
1973,-0.02853246038903322
1974,-0.03805704732262367
1975,-0.07860047283297789
1976,-0.05778702014505436
1977,-0.06172523529307911
1978,-0.1283490958639283
1979,-0.11836552881004256
1980,-0.16285050790963537
1981,-0.17084760072017505
1982,-0.1749408668095417
1983,-0.2181846938824416
1984,-0.20471241119335384
1985,-0.24051889202476964
1986,-0.23014065308495366
1987,-0.26017782309156084
1988,-0.32427435623412637
1989,-0.3487862483776752
1990,-0.34262563682766145
1991,-0.38139326076387703
1992,-0.38210865740757577
1993,-0.39705086677617724
1994,-0.3930072170674674
1995,-0.4260387676456109
1996,-0.4215160284050256
1997,-0.4413406596126609
1998,-0.4527668014251058
1999,-0.4659838387222606
2000,-0.48502588755437426
2001,-0.4881918153697086
2002,-0.5193126610360356
2003,-0.5286971907618918
2004,-0.5442467797290113
2005,-0.5806660810278815
2006,-0.6072701843837922
2007,-0.6299319661057234
2008,-0.6622280638526901
2009,-0.6548573313381748
2010,-0.6802929304259167
2011,-0.6975859657798346
2012,-0.7296458944840711
2013,-0.7005028977586367
2014,-0.7288685574964598
2015,-0.7900975318002026
2016,-0.7670327280889377
2017,-0.7952189156768038
2018,-0.8050980131618166
2019,-0.8269634095076475
1960,0
1961,0.08394215952267042
1962,0.011767377528187404
1963,0.038882058775025555
1964,0.05839439753311418
1965,-0.006892228783635335
1966,0.02749640586280571
1967,-0.0010848950007294913
1968,0.006045164547550047
1969,0.03670524319386697
1970,0.03976770480218473
1971,-0.0032654475014024264
1972,-0.013112048404265726
1973,-0.03259763486832787
1974,-0.042301227204492364
1975,-0.07239718933874519
1976,-0.056051340803697336
1977,-0.07136704727194568
1978,-0.11596438083445527
1979,-0.1276674815323453
1980,-0.1564146154535071
1981,-0.14467858274497533
1982,-0.1914264915963824
1983,-0.19157815709053108
1984,-0.19556407384758284
1985,-0.22472879383112815
1986,-0.2407060585661871
1987,-0.25996341223592206
1988,-0.31520693898920504
1989,-0.3295623759859343
1990,-0.33431238061280916
1991,-0.36749076199339675
1992,-0.4000369237942447
1993,-0.39763428716335464
1994,-0.39248739423353207
1995,-0.4278581137230879
1996,-0.42010432074008414
1997,-0.4433606297609346
1998,-0.4749307804316217
1999,-0.4632440961870181
2000,-0.47206516298200796
2001,-0.503304203644005
2002,-0.5314682888387634
2003,-0.5206185764583999
2004,-0.5329934699722827
2005,-0.5861851972108627
2006,-0.5956390315456265
2007,-0.637668709547081
2008,-0.6486290184841009
2009,-0.6418622900598825
2010,-0.6691951498929869
2011,-0.6970493263998886
2012,-0.7243366438778392
2013,-0.6861169758074415
2014,-0.7211851309930332
2015,-0.7775066984649003
2016,-0.7709194638670182
2017,-0.7956196128046699
2018,-0.8144558282676564
2019,-0.8100410646790159
1960,0
1961,0.08162415193650724
1962,0.014663039349969436
1963,0.041470626078910396
1964,0.05809316148065931
1965,-0.0036390364376788515
